id,identifier,species_id,maxHeight,minHeight,height,weight,base_experience,order,is_default,rarity,description
1,bulbasaur,1,8,6,7,69,64,1,1,0,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKeMON.
2,ivysaur,2,11,9,10,130,142,2,1,0,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,venusaur,3,22,18,20,1000,236,3,1,0,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,charmander,4,7,5,6,85,62,5,1,0,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,charmeleon,5,13,9,11,190,142,6,1,0,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,charizard,6,19,15,17,905,240,7,1,0,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,squirtle,7,6,4,5,90,63,10,1,0,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,wartortle,8,11,9,10,225,142,11,1,0,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,blastoise,9,18,14,16,855,239,12,1,0,A brutal POKeMON with pressurized water jets on its shell. They are used for high speed tackles.
10,caterpie,10,4,2,3,29,39,14,1,0,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,metapod,11,8,6,7,99,72,15,1,0,"This POKeMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,butterfree,12,13,9,11,320,178,16,1,0,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,weedle,13,4,2,3,32,39,17,1,0,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,kakuna,14,7,5,6,100,72,18,1,0,"Almost incapable of moving, this POKeMON can only harden its shell to protect itself from predators."
15,beedrill,15,11,9,10,295,178,19,1,0,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
16,pidgey,16,4,2,3,18,50,21,1,0,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,pidgeotto,17,13,9,11,300,122,22,1,0,"Very protective of its sprawling territorial area, this POKeMON will fiercely peck at any intruder."
18,pidgeot,18,17,13,15,395,216,23,1,0,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,rattata,19,4,2,3,35,51,25,1,0,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,raticate,20,8,6,7,185,145,27,1,0,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.
21,spearow,21,4,2,3,20,52,30,1,0,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
22,fearow,22,14,10,12,380,155,31,1,0,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,ekans,23,22,18,20,69,58,32,1,0,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,arbok,24,39,31,35,650,157,33,1,0,It is rumored that the ferocious warning markings on its belly differ from area to area.
25,pikachu,25,5,3,4,60,112,35,1,0,"When several of these POKeMON gather, their electricity could build and cause lightning storms."
26,raichu,26,9,7,8,300,218,43,1,0,Its long tail serves as a ground to protect itself from its own high voltage power.
27,sandshrew,27,7,5,6,120,60,45,1,0,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,sandslash,28,11,9,10,295,158,47,1,0,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,nidoran-f,29,5,3,4,70,55,49,1,0,"Although small, its venomous barbs render this POKeMON dangerous. The female has smaller horns."
30,nidorina,30,9,7,8,200,128,50,1,0,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
31,nidoqueen,31,15,11,13,600,227,51,1,0,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32,nidoran-m,32,6,4,5,90,55,52,1,0,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,nidorino,33,10,8,9,195,128,53,1,0,An aggressive POKeMON that is quick to attack. The horn on its head secretes a powerful venom.
34,nidoking,34,16,12,14,620,227,54,1,0,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
35,clefairy,35,7,5,6,75,113,56,1,0,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,clefable,36,15,11,13,400,217,57,1,0,A timid fairy POKeMON that is rarely seen. It will run and hide the moment it senses people.
37,vulpix,37,7,5,6,99,60,58,1,0,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,ninetales,38,13,9,11,199,177,60,1,0,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39,jigglypuff,39,6,4,5,55,95,63,1,0,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,wigglytuff,40,11,9,10,120,196,64,1,0,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,zubat,41,9,7,8,75,49,65,1,0,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42,golbat,42,18,14,16,550,159,66,1,0,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,oddish,43,6,4,5,54,64,68,1,0,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
